rank,candidate,family,penalty,mtry,min_n,mean_bal_accuracy,std_err_bal_accuracy,mean_accuracy,std_err_accuracy,selected,selection_reason
1,ridge logistic,regularized logistic regression,0.01,,,0.800827,0.026643,0.818758,0.034121,TRUE,Highest mean balanced accuracy; keeps the linear model used for explanation
2,ridge logistic,regularized logistic regression,0.1,,,0.790118,0.034301,0.832017,0.03671,FALSE,
3,lasso logistic,regularized logistic regression,0.001,,,0.780862,0.02743,0.801268,0.032446,FALSE,
4,lasso logistic,regularized logistic regression,1e-4,,,0.776854,0.028479,0.797004,0.034858,FALSE,
5,random forest,random forest,,100,20,0.776079,0.030019,0.843661,0.035959,FALSE,
6,random forest,random forest,,25,5,0.768567,0.015068,0.8509,0.027207,FALSE,
7,random forest,random forest,,100,5,0.766913,0.026576,0.835435,0.03531,FALSE,
8,random forest,random forest,,250,5,0.764007,0.028849,0.831473,0.037405,FALSE,
9,random forest,random forest,,250,20,0.759075,0.023808,0.83063,0.033345,FALSE,
10,random forest,random forest,,25,20,0.757347,0.012571,0.844766,0.026997,FALSE,
11,lasso logistic,regularized logistic regression,0.01,,,0.750952,0.025748,0.803204,0.029158,FALSE,
12,ridge logistic,regularized logistic regression,1,,,0.634035,0.03664,0.7745,0.039666,FALSE,
13,lasso logistic,regularized logistic regression,0.1,,,0.5,0,0.717292,0.034132,FALSE,
14,ridge logistic,regularized logistic regression,10,,,0.5,0,0.717292,0.034132,FALSE,
