task,split_scheme,replicate,accuracy,bal_accuracy,train_majority_accuracy,test_majority_rate,length_rule_accuracy,test_rows,test_speeches
era,paragraph,1,0.8696,0.8675,0.6464,0.6464,0.6522,345,58
era,paragraph,2,0.8406,0.8414,0.6464,0.6464,0.6377,345,59
era,paragraph,3,0.858,0.8512,0.6464,0.6464,0.6783,345,58
era,paragraph,4,0.8928,0.8855,0.6464,0.6464,0.6551,345,57
era,paragraph,5,0.8667,0.8597,0.6464,0.6464,0.6348,345,57
era,paragraph,6,0.8551,0.8563,0.6464,0.6464,0.7072,345,57
era,paragraph,7,0.858,0.8567,0.6464,0.6464,0.6638,345,55
era,paragraph,8,0.8667,0.8597,0.6464,0.6464,0.6696,345,60
era,paragraph,9,0.8493,0.8481,0.6464,0.6464,0.6841,345,57
era,paragraph,10,0.9043,0.8907,0.6464,0.6464,0.6696,345,58
era,speech,1,0.8498,0.867,0.8318,0.8318,0.8498,333,11
era,speech,2,0.8166,0.8522,0.7988,0.7988,0.5533,338,12
era,speech,3,0.8328,0.8198,0.7449,0.7449,0.6833,341,16
era,speech,4,0.8721,0.8648,0.6395,0.6395,0.7703,344,16
era,speech,5,0.8237,0.8238,0.4277,0.5723,0.7283,346,14
era,speech,6,0.8761,0.8674,0.6283,0.6283,0.5929,339,16
era,speech,7,0.8163,0.8206,0.5481,0.5481,0.6093,343,16
era,speech,8,0.9039,0.9168,0.7237,0.7237,0.5255,333,15
era,speech,9,0.8684,0.8604,0.5819,0.5819,0.7836,342,16
era,speech,10,0.797,0.8232,0.3576,0.6424,0.7303,330,15
era,president,1,0.877,0.8707,0.6047,0.6047,0.7277,382,16
era,president,2,0.8153,0.7987,0.6705,0.6705,0.642,352,16
era,president,3,0.8754,0.8299,0.7847,0.7847,0.8584,353,14
era,president,4,0.8409,0.8268,0.5966,0.5966,0.7301,352,16
era,president,5,0.8164,0.8208,0.6102,0.6102,0.6441,354,17
era,president,6,0.8782,0.8746,0.5256,0.5256,0.6346,312,14
era,president,7,0.8428,0.8412,0.5157,0.5157,0.7233,318,13
era,president,8,0.8778,0.8079,0.9176,0.9176,0.8551,352,14
era,president,9,0.7754,0.7761,0.497,0.503,0.6976,334,15
era,president,10,0.7543,0.7593,0.4629,0.5371,0.6714,350,15
era_party_rows,paragraph,1,0.8467,0.8118,0.7433,0.7433,0.62,300,47
era_party_rows,paragraph,2,0.8267,0.7814,0.7433,0.7433,0.5767,300,45
era_party_rows,paragraph,3,0.8467,0.8161,0.7433,0.7433,0.63,300,45
era_party_rows,paragraph,4,0.8633,0.806,0.7433,0.7433,0.5967,300,46
era_party_rows,paragraph,5,0.8433,0.8223,0.7433,0.7433,0.59,300,45
era_party_rows,paragraph,6,0.8233,0.7664,0.7433,0.7433,0.6233,300,46
era_party_rows,paragraph,7,0.8267,0.7814,0.7433,0.7433,0.6033,300,46
era_party_rows,paragraph,8,0.8433,0.7756,0.7433,0.7433,0.6133,300,46
era_party_rows,paragraph,9,0.87,0.8488,0.7433,0.7433,0.5933,300,46
era_party_rows,paragraph,10,0.8833,0.8493,0.7433,0.7433,0.61,300,46
era_party_rows,speech,1,0.8776,0.7633,0.8265,0.8265,0.7789,294,10
era_party_rows,speech,2,0.835,0.7665,0.7744,0.7744,0.7239,297,9
era_party_rows,speech,3,0.8007,0.7392,0.8333,0.8333,0.4248,306,13
era_party_rows,speech,4,0.881,0.8244,0.8197,0.8197,0.4422,294,11
era_party_rows,speech,5,0.7905,0.7328,0.6486,0.6486,0.4662,296,16
era_party_rows,speech,6,0.8721,0.8203,0.8418,0.8418,0.6431,297,13
era_party_rows,speech,7,0.8328,0.833,0.8796,0.8796,0.6689,299,9
era_party_rows,speech,8,0.8028,0.7191,0.9446,0.9446,0.5813,289,9
era_party_rows,speech,9,0.8111,0.7485,0.8827,0.8827,0.6417,307,9
era_party_rows,speech,10,0.7362,0.6935,0.6352,0.6352,0.5603,307,14
era_party_rows,president,1,0.8157,0.7728,0.7099,0.7099,0.6041,293,12
era_party_rows,president,2,0.8969,0.8225,0.9347,0.9347,0.7869,291,11
era_party_rows,president,3,0.8207,NA,1,1,0.8024,329,10
era_party_rows,president,4,0.8557,0.8137,0.7049,0.7049,0.6557,305,12
era_party_rows,president,5,0.8576,0.8153,0.8544,0.8544,0.7087,309,11
era_party_rows,president,6,0.8963,0.8886,0.786,0.786,0.7157,299,12
era_party_rows,president,7,0.8094,0.7554,0.6716,0.6716,0.7654,341,14
era_party_rows,president,8,0.9033,0.882,0.93,0.93,0.7133,300,13
era_party_rows,president,9,0.8519,0.8616,0.8653,0.8653,0.5421,297,11
era_party_rows,president,10,0.8136,0.7167,0.8271,0.8271,0.5763,295,11
party,paragraph,1,0.57,0.5547,0.6067,0.6067,0.5133,300,47
party,paragraph,2,0.64,0.6273,0.6067,0.6067,0.5167,300,46
party,paragraph,3,0.63,0.6161,0.6067,0.6067,0.4367,300,47
party,paragraph,4,0.5967,0.5812,0.6067,0.6067,0.53,300,47
party,paragraph,5,0.6,0.5824,0.6067,0.6067,0.51,300,46
party,paragraph,6,0.6,0.5779,0.6067,0.6067,0.48,300,45
party,paragraph,7,0.6067,0.576,0.6067,0.6067,0.5167,300,45
party,paragraph,8,0.59,0.5786,0.6067,0.6067,0.51,300,47
party,paragraph,9,0.6367,0.6171,0.6067,0.6067,0.4933,300,47
party,paragraph,10,0.59,0.5757,0.6067,0.6067,0.57,300,45
party,speech,1,0.5816,0.5827,0.7789,0.7789,0.3776,294,10
party,speech,2,0.532,0.501,0.6566,0.6566,0.4949,297,9
party,speech,3,0.5392,0.5233,0.5621,0.5621,0.3954,306,13
party,speech,4,0.4932,0.4724,0.6565,0.6565,0.4762,294,11
party,speech,5,0.4561,0.5223,0.3784,0.6216,0.527,296,16
party,speech,6,0.5522,0.5126,0.7609,0.7609,0.3771,297,13
party,speech,7,0.5786,0.5464,0.6488,0.6488,0.4883,299,9
party,speech,8,0.6055,0.5599,0.7751,0.7751,0.3114,289,9
party,speech,9,0.5993,0.6208,0.8111,0.8111,0.3648,307,9
party,speech,10,0.5765,0.5669,0.5342,0.5342,0.3355,307,14
party,president,1,0.5631,0.5595,0.5324,0.5324,0.3993,293,12
party,president,2,0.4158,0.4885,0.2749,0.7251,0.488,291,11
party,president,3,0.5289,0.5202,0.6322,0.6322,0.4255,329,10
party,president,4,0.4754,0.5185,0.3803,0.6197,0.3803,305,12
party,president,5,0.5146,0.4769,0.6764,0.6764,0.4142,309,11
party,president,6,0.5084,0.5154,0.4749,0.5251,0.4682,299,12
party,president,7,0.5103,0.5196,0.4604,0.5396,0.4692,341,14
party,president,8,0.4333,0.4901,0.28,0.72,0.4633,300,13
party,president,9,0.5185,0.481,0.6296,0.6296,0.4444,297,11
party,president,10,0.5288,0.5201,0.5729,0.5729,0.3559,295,11
