k,seed,semantic_coherence,adjusted_exclusivity,heldout_perplexity
3,42,-1.579513,0.255747,1084.789448
4,42,-1.608368,0.197511,1085.944834
5,42,-1.662964,0.154516,1086.68827
6,42,-1.666178,0.136384,1087.64564
7,42,-1.708232,0.131981,1088.328659
8,42,-1.748291,0.111182,1089.023492
3,7,-1.631344,0.299545,1085.041493
4,7,-1.698558,0.229337,1086.089592
5,7,-1.57827,0.16466,1087.180678
6,7,-1.629456,0.142744,1087.583926
7,7,-1.633514,0.113045,1088.321663
8,7,-1.6342,0.100298,1088.967993
3,2024,-1.657894,0.266842,1084.993875
4,2024,-1.546545,0.160208,1085.966193
5,2024,-1.568417,0.151434,1087.078095
6,2024,-1.554404,0.115075,1087.472398
7,2024,-1.55086,0.105268,1088.2012790000001
8,2024,-1.543324,0.090658,1088.849249
