doc_id,raw_output,llm_label,output_tokens,ended_by_eos
RYD-0001,no,not responsive,2,TRUE
RYD-0002,no,not responsive,2,TRUE
RYD-0003,no,not responsive,2,TRUE
RYD-0004,no,not responsive,2,TRUE
RYD-0005,no,not responsive,2,TRUE
RYD-0006,no,not responsive,2,TRUE
RYD-0007,no,not responsive,2,TRUE
RYD-0008,yes,responsive,2,TRUE
RYD-0009,no,not responsive,2,TRUE
RYD-0010,no,not responsive,2,TRUE
RYD-0011,no,not responsive,2,TRUE
RYD-0012,no,not responsive,2,TRUE
RYD-0013,no,not responsive,2,TRUE
RYD-0014,no,not responsive,2,TRUE
RYD-0015,no,not responsive,2,TRUE
RYD-0016,no,not responsive,2,TRUE
RYD-0017,no,not responsive,2,TRUE
RYD-0018,no,not responsive,2,TRUE
RYD-0019,no,not responsive,2,TRUE
RYD-0020,no,not responsive,2,TRUE
RYD-0021,no,not responsive,2,TRUE
RYD-0022,no,not responsive,2,TRUE
RYD-0023,no,not responsive,2,TRUE
RYD-0024,no,not responsive,2,TRUE
RYD-0025,no,not responsive,2,TRUE
RYD-0026,no,not responsive,2,TRUE
RYD-0027,no,not responsive,2,TRUE
RYD-0028,yes,responsive,2,TRUE
RYD-0029,no,not responsive,2,TRUE
RYD-0030,no,not responsive,2,TRUE
RYD-0031,no,not responsive,2,TRUE
RYD-0032,no,not responsive,2,TRUE
RYD-0033,no,not responsive,2,TRUE
RYD-0034,no,not responsive,2,TRUE
RYD-0035,no,not responsive,2,TRUE
RYD-0036,no,not responsive,2,TRUE
RYD-0037,no,not responsive,2,TRUE
RYD-0038,no,not responsive,2,TRUE
RYD-0039,no,not responsive,2,TRUE
RYD-0040,no,not responsive,2,TRUE
RYD-0041,no,not responsive,2,TRUE
RYD-0042,no,not responsive,2,TRUE
RYD-0043,no,not responsive,2,TRUE
RYD-0044,no,not responsive,2,TRUE
RYD-0045,yes,responsive,2,TRUE
RYD-0046,no,not responsive,2,TRUE
RYD-0047,no,not responsive,2,TRUE
RYD-0048,no,not responsive,2,TRUE
RYD-0049,no,not responsive,2,TRUE
RYD-0050,no,not responsive,2,TRUE
RYD-0051,no,not responsive,2,TRUE
RYD-0052,yes,responsive,2,TRUE
RYD-0053,no,not responsive,2,TRUE
RYD-0054,no,not responsive,2,TRUE
RYD-0055,no,not responsive,2,TRUE
RYD-0056,no,not responsive,2,TRUE
RYD-0057,no,not responsive,2,TRUE
RYD-0058,no,not responsive,2,TRUE
RYD-0059,no,not responsive,2,TRUE
RYD-0060,no,not responsive,2,TRUE
RYD-0061,no,not responsive,2,TRUE
RYD-0062,no,not responsive,2,TRUE
RYD-0063,no,not responsive,2,TRUE
RYD-0064,no,not responsive,2,TRUE
RYD-0065,no,not responsive,2,TRUE
RYD-0066,no,not responsive,2,TRUE
RYD-0067,no,not responsive,2,TRUE
RYD-0068,no,not responsive,2,TRUE
RYD-0069,no,not responsive,2,TRUE
RYD-0070,no,not responsive,2,TRUE
RYD-0071,no,not responsive,2,TRUE
