synset_id,relation,target_synset_id,target_definition,target_members
oewn-00017402-n,hypernym,oewn-00004475-n,a living thing that has (or can develop) the ability to act or function independently,"being, organism"
oewn-00017402-n,hyponym,oewn-01386537-n,photosynthetic or plant constituent of plankton; mainly unicellular algae,phytoplankton
oewn-00017402-n,hyponym,oewn-11550459-n,microscopic plants; bacteria are often considered to be microflora,microflora
oewn-00017402-n,hyponym,oewn-11550963-n,a cultivated plant that is grown commercially on a large scale,crop
oewn-00017402-n,hyponym,oewn-11551311-n,an organism that produces its own food by photosynthesis,holophyte
oewn-00017402-n,hyponym,oewn-11551441-n,a plant that does not bear flowers,non-flowering plant
oewn-00017402-n,hyponym,oewn-11551541-n,a young plant or a small plant,plantlet
oewn-00017402-n,hyponym,oewn-11551644-n,a wild uncultivated plant (especially a wild apple or crabapple tree),wilding
oewn-00017402-n,hyponym,oewn-11556538-n,any plant grown for its beauty or ornamental value,ornamental
oewn-00017402-n,hyponym,oewn-11556681-n,a plant suitable for growing in a flowerpot (especially indoors),pot plant
oewn-00017402-n,hyponym,oewn-11556820-n,any flowerless plant such as a fern (pteridophyte) or moss (bryophyte) in which growth occurs only at the tip of the main stem,acrogen
oewn-00017402-n,hyponym,oewn-11557018-n,a plant that reproduces or is reproduced by apomixis,apomict
oewn-00017402-n,hyponym,oewn-11557124-n,a plant that lives in or on water,aquatic
oewn-00017402-n,hyponym,oewn-11572584-n,"formerly recognized taxonomic group including all flowerless and seedless plants that reproduce by means of spores: ferns, mosses, algae, fungi",cryptogam
oewn-00017402-n,hyponym,oewn-11573257-n,(botany) a plant that completes its entire life cycle within the space of a year,annual
oewn-00017402-n,hyponym,oewn-11573427-n,(botany) a plant having a life cycle that normally takes two seasons from germination to death to complete; flowering biennials usually bloom and fruit in the second season,biennial
oewn-00017402-n,hyponym,oewn-11573691-n,(botany) a plant lasting for three seasons or more,perennial
oewn-00017402-n,hyponym,oewn-11573870-n,a plant originally cultivated but now growing wild,escape
oewn-00017402-n,hyponym,oewn-11573973-n,a plant that grows in a moist habitat,hygrophyte
oewn-00017402-n,hyponym,oewn-11574085-n,a plant that is found in an area where it had not been recorded previously,neophyte
oewn-00017402-n,hyponym,oewn-11706972-n,(botany) a minute rudimentary plant contained within a seed or an archegonium,embryo
oewn-00017402-n,hyponym,oewn-11707249-n,a plant that bears fruit once and dies,"monocarp, monocarpic plant, monocarpous plant"
