lemma,part_of_speech,sense_id,synset_id,sense_order
bank,noun,oewn-bank__1.17.01..,oewn-09236472-n,1
bank,noun,oewn-bank__1.14.00..,oewn-08437235-n,2
bank,noun,oewn-bank__1.17.00..,oewn-09236341-n,3
bank,noun,oewn-bank__1.14.01..,oewn-08479077-n,4
bank,noun,oewn-bank__1.21.00..,oewn-13389491-n,5
bank,noun,oewn-bank__1.21.01..,oewn-13377435-n,6
bank,noun,oewn-bank__1.17.02..,oewn-09236735-n,7
bank,noun,oewn-bank__1.06.01..,oewn-04146942-n,8
bank,noun,oewn-bank__1.06.00..,oewn-02790795-n,9
bank,noun,oewn-bank__1.04.00..,oewn-00170126-n,10
bank,verb,oewn-bank__2.38.00..,oewn-02043258-v,1
bank,verb,oewn-bank__2.35.00..,oewn-01590626-v,2
bank,verb,oewn-bank__2.40.02..,oewn-02348370-v,3
bank,verb,oewn-bank__2.40.03..,oewn-02348248-v,4
bank,verb,oewn-bank__2.40.01..,oewn-02348052-v,5
bank,verb,oewn-bank__2.40.00..,oewn-02315835-v,6
bank,verb,oewn-bank__2.35.01..,oewn-01237357-v,7
bank,verb,oewn-bank__2.31.02..,oewn-00714537-v,8
bird,noun,oewn-bird__1.05.00..,oewn-01505702-n,1
bird,noun,oewn-bird__1.13.00..,oewn-07659991-n,2
bird,noun,oewn-bird__1.18.00..,oewn-10008583-n,3
bird,noun,oewn-bird__1.10.00..,oewn-07138578-n,4
bird,noun,oewn-bird__1.06.01..,oewn-04219349-n,5
bird,verb,oewn-bird__2.33.00..,oewn-01142291-v,1
cat,noun,oewn-cat__1.04.00..,oewn-00903174-n,1
cat,noun,oewn-cat__1.05.00..,oewn-02124272-n,1
cat,noun,oewn-cat__1.18.01..,oewn-10172934-n,2
cat,noun,oewn-cat__1.18.00..,oewn-09919605-n,3
cat,noun,oewn-cat__1.06.02..,oewn-03614083-n,4
cat,noun,oewn-cat__1.06.00..,oewn-02989061-n,5
cat,noun,oewn-cat__1.06.01..,oewn-02986962-n,6
cat,noun,oewn-cat__1.05.02..,oewn-02130460-n,7
cat,verb,oewn-cat__2.35.00..,oewn-01414524-v,1
cat,verb,oewn-cat__2.29.00..,oewn-00076153-v,2
chair,noun,oewn-chair__1.06.00..,oewn-03005231-n,1
chair,noun,oewn-chair__1.04.00..,oewn-00599171-n,2
chair,noun,oewn-chair__1.18.00..,oewn-10488547-n,3
chair,noun,oewn-chair__1.06.01..,oewn-03275941-n,4
chair,noun,oewn-chair__1.06.02..,oewn-03005700-n,5
chair,verb,oewn-chair__2.41.00..,oewn-02444885-v,1
chair,verb,oewn-chair__2.32.00..,oewn-00815452-v,2
city,noun,oewn-city__1.15.00..,oewn-08542298-n,1
city,noun,oewn-city__1.15.01..,oewn-08558466-n,2
city,noun,oewn-city__1.14.00..,oewn-08243256-n,3
computer,noun,oewn-computer__1.06.00..,oewn-03086983-n,1
computer,noun,oewn-computer__1.18.00..,oewn-09906486-n,2
doctor,noun,oewn-doctor__1.18.02..,oewn-10041836-n,1
doctor,noun,oewn-doctor__1.18.00..,oewn-10040615-n,1
doctor,noun,oewn-doctor__1.04.00..,oewn-00433296-n,2
doctor,noun,oewn-doctor__1.18.01..,oewn-10041617-n,3
doctor,verb,oewn-doctor__2.30.00..,oewn-00489366-v,1
doctor,verb,oewn-doctor__2.29.00..,oewn-00080057-v,2
doctor,verb,oewn-doctor__2.30.01..,oewn-00261534-v,3
dog,noun,oewn-dog__1.05.00..,oewn-02086723-n,1
dog,noun,oewn-dog__1.18.01..,oewn-10133978-n,2
dog,noun,oewn-dog__1.18.00..,oewn-10042764-n,3
dog,noun,oewn-dog__1.18.02..,oewn-09905672-n,4
dog,noun,oewn-dog__1.13.01..,oewn-07692347-n,5
dog,noun,oewn-dog__1.06.00..,oewn-03907626-n,6
dog,noun,oewn-dog__1.06.01..,oewn-02712903-n,7
dog,verb,oewn-dog__2.38.00..,oewn-02005890-v,1
engineer,noun,oewn-engineer__1.18.00..,oewn-09638837-n,1
engineer,noun,oewn-engineer__1.18.01..,oewn-10077522-n,2
engineer,verb,oewn-engineer__2.31.01..,oewn-00713379-v,1
engineer,verb,oewn-engineer__2.31.00..,oewn-00711834-v,2
hammer,noun,oewn-hammer__1.06.04..,oewn-03486907-n,1
hammer,noun,oewn-hammer__1.06.00..,oewn-03486255-n,2
hammer,noun,oewn-hammer__1.08.00..,oewn-05333491-n,3
hammer,noun,oewn-hammer__1.06.03..,oewn-03721208-n,4
hammer,noun,oewn-hammer__1.06.05..,oewn-03487084-n,5
hammer,noun,oewn-hammer__1.06.02..,oewn-03486757-n,6
hammer,noun,oewn-hammer__1.06.01..,oewn-03486604-n,7
hammer,noun,oewn-hammer__1.04.00..,oewn-01177806-n,8
