synset_id,part_of_speech,definition,example
oewn-00017402-n,noun,(botany) a living organism lacking the power of locomotion,
oewn-00048486-n,noun,the sum of recognized accomplishments,the lawyer has a good record
oewn-00063834-n,noun,an extreme attainment; the best (or worst) performance ever attested (as in a sport),he tied the Olympic record
oewn-00076153-v,verb,eject the contents of the stomach through the mouth,"After drinking too much, the students vomited"
oewn-00080057-v,verb,give medical treatment to,
oewn-00095025-v,verb,develop suddenly,The tire sprang a leak
oewn-00099798-v,verb,exercise in order to prepare for an event or competition,She is training for the Olympics
oewn-00100305-v,verb,give a workout to,Some parents exercise their infants
oewn-00121022-n,noun,"a light, self-propelled movement upwards or forwards",
oewn-00149916-v,verb,arrive at a certain condition through repeated motion,The stitches of the hem worked loose after she wore the skirt many times
oewn-00170126-n,noun,a flight maneuver; aircraft tips laterally about its longitudinal axis (especially in turning),the plane went into a steep bank
oewn-00190414-n,noun,a score in baseball made by a runner touching all four bases safely,the Yankees scored 3 runs in the bottom of the 9th
oewn-00261534-v,verb,restore by replacing a part or putting together what is torn or broken,She repaired her TV set
oewn-00270855-a,adjective,characterized by or emitting light,a room that is light when the shutters are open
oewn-00292635-v,verb,introduce light into,This lamp lightens the room a bit
oewn-00294760-n,noun,the act of running; traveling on foot at a fast pace,he broke into a run
oewn-00309697-n,noun,a regular trip,the ship made its run in record time
oewn-00309837-n,noun,a short trip,take a run into town
oewn-00333482-v,verb,become undone,the sweater unraveled
oewn-00335613-v,verb,come unraveled or undone as if by snagging,Her nylons were running
oewn-00362917-s,adjective satellite,casual and unrestrained in sexual behavior,her easy virtue
oewn-00383235-s,adjective satellite,of something having a dusty purplish pink color,the roseate glow of dawn
oewn-00392845-r,adverb,with few burdens,experienced travellers travel light
oewn-00409737-a,adjective,(used of color) having a relatively small amount of coloring agent,light blue
oewn-00417926-v,verb,"make equal, uniform, corresponding, or matching",let's equalize the duties among all employees in this office
oewn-00433296-n,noun,children take the roles of physician or patient or nurse and pretend they are at the physician's office,the children explored each other's bodies by playing the game of doctor
oewn-00445584-v,verb,"reduce or cause to be reduced from a solid to a liquid state, usually by heating",melt butter
oewn-00457551-v,verb,be equal or harmonize,The two pieces match
oewn-00457695-v,verb,make correspond or harmonize,Match my sweater
oewn-00459426-v,verb,go sour or spoil,The milk has soured
oewn-00459709-v,verb,cause to undergo fermentation,We ferment the grapes for a very long time to achieve high alcohol content
oewn-00471317-v,verb,make commercial,Some Amish people have commercialized their way of life
oewn-00489366-v,verb,"alter and make impure, as with the intention to deceive",Sophisticate rose water with geraniol
oewn-00505439-s,adjective satellite,(used of soil) loose and large-grained in consistency,light soil
oewn-00518609-v,verb,cause to perform,run a subject
oewn-00540190-v,verb,progress by being changed,The speech has to go through several more drafts
oewn-00550143-v,verb,change from one state to another,run amok
