sentence_id,codebook_version,codebook_hash,reviewer_a,reviewer_a_uncertainty,reviewer_a_rationale,reviewer_b,reviewer_b_uncertainty,reviewer_b_rationale,reviewer_c,reviewer_c_uncertainty,reviewer_c_rationale
s001,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,training,certain,Explicitly offers training,training,certain,Explicitly offers training,training,certain,Explicitly offers training
s002,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,requirement,certain,States an experience condition,requirement,certain,States an experience condition,requirement,certain,States an experience condition
s003,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,schedule,certain,States when work can occur,schedule,certain,States when work can occur,schedule,certain,States when work can occur
s004,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,skill,certain,Names spreadsheet skill,skill,certain,Names spreadsheet skill,skill,certain,Names spreadsheet skill
s005,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,requirement,certain,States education requirement,requirement,certain,States education requirement,requirement,certain,States education requirement
s006,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,training,certain,Offers certification training,training,certain,Offers certification training,training,certain,Offers certification training
s010,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,requirement,certain,States preferred experience,other,needs_review,Preference seemed outside required conditions,requirement,certain,States preferred experience
s011,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,other,certain,Describes work location,other,certain,Describes work location,other,certain,Describes work location
s013,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,requirement,needs_review,Preference is the main claim,training,needs_review,Certificate suggested training,other,needs_review,Could not resolve sentence without context
s016,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,training,certain,Names paid apprenticeship,training,certain,Names paid apprenticeship,training,certain,Names paid apprenticeship
s017,1.0.0,eb8e5fa0b3176d139fe6ea3f9b70d4cd25ef9631656aae128b512ecd16598da2,requirement,certain,States license requirement,requirement,certain,States license requirement,requirement,certain,States license requirement
